AppName,Icon,Screenshot1,Screenshot2,Screenshot3
"AllTrails: Hike, Bike & Run",https://is4-ssl.mzstatic.com/image/thumb/Purple124/v4/bc/02/ec/bc02ecbd-2d98-c4e0-4b19-d2418f905c33/AppIcon-0-1x_U007emarketing-0-4-0-0-85-220.png/246x0w.png,https://is4-ssl.mzstatic.com/image/thumb/Purple113/v4/fd/c4/29/fdc4291c-d85d-dac3-6e26-929315f1ce19/pr_source.jpg/300x0w.jpg,https://is5-ssl.mzstatic.com/image/thumb/Purple113/v4/58/2d/6f/582d6f54-7ce9-a346-36ad-03822a3fdcdf/pr_source.jpg/300x0w.jpg,https://is1-ssl.mzstatic.com/image/thumb/Purple113/v4/c3/0a/fe/c30afee9-db5a-e671-5713-a276423fefea/pr_source.jpg/300x0w.jpg
Fitbit: Health & Fitness,https://is5-ssl.mzstatic.com/image/thumb/Purple114/v4/f2/f3/79/f2f37945-b160-1395-77ac-e0262c5a39cc/AppIcon-0-0-1x_U007emarketing-0-0-0-6-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/246x0w.png,https://is1-ssl.mzstatic.com/image/thumb/Purple123/v4/74/a7/8a/74a78afb-3d18-2be2-4486-9f80cd112b25/pr_source.png/300x0w.png,https://is3-ssl.mzstatic.com/image/thumb/Purple113/v4/7d/ce/a9/7dcea90c-84a8-9c96-8c5a-fa2d8e088c8b/mzl.agtbqljh.png/300x0w.png,https://is3-ssl.mzstatic.com/image/thumb/Purple123/v4/4d/3d/d0/4d3dd0d6-f878-e72f-9fa9-55d38d7aaf02/pr_source.png/300x0w.png
8fit Workouts & Meal Planner,https://is3-ssl.mzstatic.com/image/thumb/Purple124/v4/36/71/4a/36714a75-0af2-131b-ec99-ab803f4d0030/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/246x0w.png,https://is1-ssl.mzstatic.com/image/thumb/Purple124/v4/01/d2/52/01d252df-c1da-11e5-91d4-1eeeb03632f3/pr_source.jpg/300x0w.jpg,https://is2-ssl.mzstatic.com/image/thumb/PurpleSource114/v4/27/da/6f/27da6f5a-2914-39e7-2b46-b2a8364e0002/abc90e20-a3fa-49b1-9192-c9de54456929_ID_77_200727_AppleStoreAssets_ENG_01_1242x2688_weekly_classes.jpg/300x0w.jpg,https://is5-ssl.mzstatic.com/image/thumb/PurpleSource114/v4/90/1a/75/901a75cd-8fc5-4c6a-9b2d-04ba048b1c6d/64c9db46-fbb1-40f3-b310-4ccf6c7fe9d9_ID_77_200727_AppleStoreAssets_ENG_06_1242x2688__recipes.jpg/300x0w.jpg
Headspace: Meditation & Sleep,https://is3-ssl.mzstatic.com/image/thumb/Purple114/v4/6c/4e/d3/6c4ed36d-a682-bb2d-7667-df04cda786a7/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/246x0w.png,https://is5-ssl.mzstatic.com/image/thumb/Purple114/v4/ba/d2/ba/bad2ba68-5d87-5640-8916-857d2d2ba8cd/f92e7a42-1580-4840-85e0-459e1f972bd4_6.5_ASO_iOS_AppStore_1242x2688_01.png/300x0w.png,https://is5-ssl.mzstatic.com/image/thumb/Purple114/v4/5a/06/28/5a0628b8-c7fc-4136-906a-c2ae15ae5c3a/219fb44d-0372-44bd-aa0e-32c07bad8380_6.5_ASO_iOS_AppStore_1242x2688_02_Brand-B.jpg/300x0w.jpg,https://is4-ssl.mzstatic.com/image/thumb/Purple124/v4/a8/ec/30/a8ec3029-030b-3b4c-2fb6-173567d69396/pr_source.jpg/300x0w.jpg
BetterMe: Home Workout & Diet,https://is5-ssl.mzstatic.com/image/thumb/Purple114/v4/ce/5e/cf/ce5ecfa9-637e-cd12-1fcf-4895c11e5098/AppIcon-0-0-1x_U007emarketing-0-0-0-10-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/246x0w.png,https://is5-ssl.mzstatic.com/image/thumb/PurpleSource114/v4/8d/b8/2b/8db82ba4-a3f7-b098-2177-2dbb1a8b6a65/fd61aa01-e73f-48c5-ade3-d5e9319da4ce_1._Iphone_XS__U005bEN_U005d.png/300x0w.png,https://is3-ssl.mzstatic.com/image/thumb/PurpleSource124/v4/5f/4e/26/5f4e269d-f81e-84b0-4325-7e1952567f0b/3425489f-b1db-4a99-adf9-22ba892711d1_2._Iphone_XS__U005bEN_U005d.png/300x0w.png,https://is5-ssl.mzstatic.com/image/thumb/PurpleSource124/v4/17/31/04/173104f8-b276-7cb3-ccc4-937998a6d144/fd9b5c98-6dab-4d27-9c5c-e2b58370f949_3._Iphone_XS__U005bEN_U005d.png/300x0w.png
FitOn Workouts & Fitness Plans,https://is5-ssl.mzstatic.com/image/thumb/Purple114/v4/ed/c6/4f/edc64f09-398f-fb5d-ccf6-8ce3d6ef260c/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/246x0w.png,https://is1-ssl.mzstatic.com/image/thumb/PurpleSource124/v4/9d/e3/06/9de30664-f7cb-4420-95ce-c509b4a76111/3531da12-b92a-4e75-b611-f0721091622e_00.png/300x0w.png,https://is2-ssl.mzstatic.com/image/thumb/PurpleSource114/v4/7d/20/5d/7d205d40-e1ca-a543-ce94-0ea7143fb018/819801fd-6d84-47f1-908a-ee9f09fdddfe_01.png/300x0w.png,https://is3-ssl.mzstatic.com/image/thumb/PurpleSource114/v4/b7/59/b5/b759b587-7af1-ed78-1f7b-1dac961c02c6/283d3353-76a2-43a8-a897-026dcad45419_02.png/300x0w.png
Keelo - Fitness Coach,https://is1-ssl.mzstatic.com/image/thumb/Purple114/v4/6c/54/d9/6c54d9a4-1f70-8662-9877-93c3fee43613/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-P3-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/246x0w.png,https://is4-ssl.mzstatic.com/image/thumb/Purple123/v4/48/52/b9/4852b905-123a-1a39-5e24-210d17682364/pr_source.png/300x0w.png,https://is1-ssl.mzstatic.com/image/thumb/Purple113/v4/7e/c0/31/7ec031ec-f156-9b86-66c2-c7fcda0fcec6/pr_source.png/300x0w.png,https://is3-ssl.mzstatic.com/image/thumb/Purple113/v4/00/e3/53/00e3532b-4249-e0f0-5ac8-48a37d625679/pr_source.png/300x0w.png
J&J Official 7 Minute Workout,https://is1-ssl.mzstatic.com/image/thumb/Purple113/v4/c1/51/2d/c1512d92-6faf-e096-1f50-2448df43aab6/AppIcon-0-0-1x_U007emarketing-0-0-0-10-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/246x0w.png,https://is3-ssl.mzstatic.com/image/thumb/Purple113/v4/be/fb/3f/befb3f4d-af6b-6639-6194-de6ea5b8f7e9/pr_source.jpg/300x0w.jpg,https://is5-ssl.mzstatic.com/image/thumb/Purple123/v4/25/85/db/2585db20-f30a-03ea-714a-5c784c236766/pr_source.jpg/300x0w.jpg,https://is1-ssl.mzstatic.com/image/thumb/Purple123/v4/9a/11/db/9a11dbb5-a2dc-02dc-d829-c69765a67aa5/pr_source.jpg/300x0w.jpg
7 Minute Workout Challenge,https://is1-ssl.mzstatic.com/image/thumb/Purple124/v4/1d/8c/e5/1d8ce5b7-9c8a-b057-44d1-1160d80a5439/AppIcon-0-1x_U007emarketing-85-220-1.jpeg/246x0w.jpg,https://is1-ssl.mzstatic.com/image/thumb/Purple128/v4/0b/ab/44/0bab44a3-5fe1-b314-54ed-864ca8817ba1/pr_source.jpg/300x0w.jpg,https://is3-ssl.mzstatic.com/image/thumb/Purple128/v4/51/82/7b/51827b7d-1875-4057-55e4-da819c4adab8/pr_source.jpg/300x0w.jpg,https://is4-ssl.mzstatic.com/image/thumb/Purple118/v4/ed/fe/82/edfe824d-ac39-eca9-1001-81ed751da4f6/pr_source.jpg/300x0w.jpg
Fitness Coach,https://is1-ssl.mzstatic.com/image/thumb/Purple123/v4/cd/b4/f0/cdb4f00f-1eaf-4542-404a-1d593c77587c/AppIcon-1x_U007emarketing-0-6-0-0-85-220.png/246x0w.png,https://is4-ssl.mzstatic.com/image/thumb/Purple113/v4/00/4a/fc/004afc26-a0f1-e87a-574d-bb1dc0446b56/pr_source.png/300x0w.png,https://is5-ssl.mzstatic.com/image/thumb/Purple123/v4/58/9f/c2/589fc2be-b160-2892-7ee0-7b23e61b1a74/pr_source.png/300x0w.png,https://is1-ssl.mzstatic.com/image/thumb/Purple113/v4/c7/aa/31/c7aa316a-6278-a2ca-9148-38a391f144ac/pr_source.png/300x0w.png
