AppName,Icon,Screenshot1,Screenshot2,Screenshot3,CompanyName,CompanyLInk,AppRating
"","","","","","","",""
"","","","","","","",""
SuperShuttle,https://is2-ssl.mzstatic.com/image/thumb/Purple124/v4/7c/3e/3a/7c3e3aea-9e00-7d3f-fcdf-f18adbdf1d72/AppIcon-Prod-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/246x0w.png,https://is2-ssl.mzstatic.com/image/thumb/Purple113/v4/f1/79/f9/f179f917-115a-abba-f2c8-0932ec318ddc/mzl.snfzvbke.png/300x0w.png,https://is3-ssl.mzstatic.com/image/thumb/Purple123/v4/c4/45/1b/c4451bbf-5c70-1d4b-077e-e8055ada712b/mzl.pnqzrsvm.png/300x0w.png,https://is3-ssl.mzstatic.com/image/thumb/Purple113/v4/e4/83/86/e4838661-1ba0-7054-7b93-831cb115bed0/mzl.gvzkxuso.png/300x0w.png,"© 2019 SuperShuttle, Inc.",https://www.supershuttle.com/,"4.7, 7.9K Ratings"
RVezy - RV &amp; Trailer Rental,https://is1-ssl.mzstatic.com/image/thumb/Purple114/v4/b7/e8/a5/b7e8a573-0569-2995-1d56-55df36551f3c/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/246x0w.png,https://is4-ssl.mzstatic.com/image/thumb/Purple113/v4/ef/2b/31/ef2b3117-c3db-07c2-5874-2c0c948fc67c/pr_source.png/300x0w.png,https://is1-ssl.mzstatic.com/image/thumb/Purple124/v4/d8/06/7e/d8067ec8-34dc-e83e-899a-9a1346405cf5/pr_source.png/300x0w.png,https://is5-ssl.mzstatic.com/image/thumb/Purple113/v4/80/45/1d/80451d33-0f28-3180-272f-04218f53d2a3/pr_source.png/300x0w.png,"© 2018 RVezy, All rights reserved.",https://www.rvezy.com/,"3.0, 2 Ratings"
Baggage - travel packing organizer and checklist,https://is4-ssl.mzstatic.com/image/thumb/Purple62/v4/e3/34/94/e334940e-df24-0c1b-9256-1706ccf7a7fe/mzl.mfxjxzmj.png/246x0w.png,https://is5-ssl.mzstatic.com/image/thumb/Purple71/v4/99/84/df/9984df79-30f6-44e6-830b-15feeebf7ab6/mzl.xqvdasax.png/300x0w.png,https://is4-ssl.mzstatic.com/image/thumb/Purple62/v4/07/75/01/07750155-6224-ad97-62c6-97b936d81acd/mzl.uwdoycmu.png/300x0w.png,https://is4-ssl.mzstatic.com/image/thumb/Purple71/v4/89/80/5c/89805cf1-fa33-5223-167a-e5ffbacc5a20/mzl.dwodpdyg.png/300x0w.png,© Evgeny Turchaninov,http://www.avencode.com,"3.0, 2 Ratings"
"","","","","","","",""
Park Duluth,https://is2-ssl.mzstatic.com/image/thumb/Purple113/v4/16/1e/4f/161e4f2e-74b4-0647-e39d-dcbef72f7de1/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/246x0w.png,https://is1-ssl.mzstatic.com/image/thumb/Purple113/v4/09/f6/4c/09f64ca4-521d-d3f4-b893-e5681efcec52/pr_source.png/300x0w.png,https://is5-ssl.mzstatic.com/image/thumb/Purple123/v4/e4/29/b5/e429b5bc-7eb1-cc09-18b7-5219816541b4/pr_source.png/300x0w.png,https://is2-ssl.mzstatic.com/image/thumb/Purple113/v4/5b/4f/4c/5b4f4c16-57b2-ff47-7b7f-e4b223bee656/pr_source.png/300x0w.png,© 2020 Passport. All rights reserved.,https://www.passportparking.com/support/,"4.6, 267 Ratings"
Scoop - Carpool w/ Co-Workers,https://is3-ssl.mzstatic.com/image/thumb/Purple114/v4/4f/04/82/4f048247-f4d0-200d-0619-a41034afa06f/AppIcon-Scoop-0-0-1x_U007emarketing-0-0-0-5-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/246x0w.png,https://is4-ssl.mzstatic.com/image/thumb/Purple124/v4/54/bf/cf/54bfcf45-a4ce-b486-11aa-b3ad56502caf/258aae9d-9267-408a-9724-7ef924c30d62_Screenshot_1.png/300x0w.png,https://is3-ssl.mzstatic.com/image/thumb/Purple124/v4/97/f7/b0/97f7b005-cf48-5de9-b8e3-0e7b5017a86b/d8decaa8-4200-40ae-b2f2-f40e35a3c44d_Screenshot_2.png/300x0w.png,https://is5-ssl.mzstatic.com/image/thumb/Purple114/v4/ba/ab/e7/baabe7fe-4803-8662-2bf8-9e3c2674db2c/cdccf1e8-6858-4cdd-939d-423fe2e724ff_Screenshot_3.png/300x0w.png,"© 2020 Scoop Technologies, Inc.",http://www.takescoop.com,"4.8, 18.4K Ratings"
Exp Deals Hotel,https://is3-ssl.mzstatic.com/image/thumb/Purple118/v4/f7/f7/a4/f7f7a487-d236-c2b5-6a73-b70f89e913fa/mzl.jwaioyrg.png/246x0w.png,https://is3-ssl.mzstatic.com/image/thumb/Purple60/v4/64/0f/73/640f73d6-ca9b-7ccb-069e-d7bba57765e0/pr_source.jpg/300x0w.jpg,https://is5-ssl.mzstatic.com/image/thumb/Purple30/v4/fb/40/87/fb40874e-9d6f-8159-0c97-6ca2f437d750/pr_source.jpg/300x0w.jpg,https://is1-ssl.mzstatic.com/image/thumb/Purple18/v4/c2/19/7b/c2197bcf-fade-80d2-f349-29d3e71a7ed2/pr_source.jpg/300x0w.jpg,© 2016 ExpDealsHotel Inc.,http://expdealshotel.com,"2.2, 94 Ratings"
"","","","","","","",""
